# Bin_center[MeV],N(antineutrino)/MeV/fission,error,error_norm
3.000,9.586e-1,3.5,3.3
3.250,7.952e-1,3.1,3.3
3.500,6.603e-1,2.6,3.3
3.750,5.406e-1,2.6,3.3
4.000,4.433e-1,2.6,3.3
4.250,3.498e-1,2.8,3.3
4.500,2.787e-1,2.9,3.3
4.750,2.171e-1,3.3,3.3
5.000,1.700e-1,3.7,3.4
5.250,1.341e-1,4.1,3.4
5.500,1.032e-1,5.0,3.4
5.750,7.737e-2,5.9,3.4
6.000,5.618e-2,7.6,3.4
6.250,3.973e-2,10.6,3.4
6.500,3.048e-2,12.6,3.4
6.750,2.805e-2,11.7,3.4
7.000,2.093e-2,14.1,3.4
7.250,1.139e-2,21.9,3.4
7.500,7.132e-3,30.0,3.4
